Z_Accel
Unfiltered MAF FIR
-0.388814 -0.591334 -0.893955
-0.470676 -0.496906 -0.774029
-0.587613 -0.480375 -0.646356
-0.732244 -0.521062 -0.541009
-0.901336 -0.616100 -0.488061
-1.251781 -0.788730 -0.500261
-1.396229 -0.973804 -0.574193
-1.278377 -1.111969 -0.702049
-1.098000 -1.185108 -0.868518
-1.383663 -1.281610 -1.040294
-1.174677 -1.266177 -1.171871
-1.195417 -1.225978 -1.239276
-1.282769 -1.226893 -1.253245
-1.277218 -1.262700 -1.244400
-1.318942 -1.249768 -1.237324
-0.971242 -1.209081 -1.238605
-0.911706 -1.152351 -1.243485
-0.834236 -1.062620 -1.235860
-0.683017 -0.943792 -1.193770
-0.594323 -0.798856 -1.107150
-0.501725 -0.704977 -0.991555
-0.522038 -0.627019 -0.870714
-0.253516 -0.510875 -0.759145
-0.324642 -0.439200 -0.659776
-0.739320 -0.468236 -0.569313
-0.822097 -0.532286 -0.492575
-1.331874 -0.694241 -0.453047
-1.263554 -0.896273 -0.484035
-1.518656 -1.135088 -0.606645
-1.288442 -1.244888 -0.802028
-1.307169 -1.341939 -1.017602
-1.246230 -1.324798 -1.194319
-1.345599 -1.341207 -1.299727
-1.389458 -1.315343 -1.334741
-1.288442 -1.315343 -1.328031
-1.029009 -1.259711 -1.315770
-0.970144 -1.204506 -1.310646
-0.745664 -1.084519 -1.295457
-0.654774 -0.937570 -1.242021
-0.494527 -0.778787 -1.140639
-0.295667 -0.632143 -1.004914
-0.404674 -0.519049 -0.857050
-0.555405 -0.480985 -0.711565
-0.689483 -0.487939 -0.582672
-0.808494 -0.550708 -0.494893
-0.953125 -0.682224 -0.473238
-1.104100 -0.822097 -0.522709
-1.353590 -0.981734 -0.625250
-1.318637 -1.107577 -0.754814
-1.291309 -1.204140 -0.895907
-1.447713 -1.303021 -1.038281
-1.103917 -1.303021 -1.164185
-1.228174 -1.277950 -1.255197
-1.419836 -1.298141 -1.298812
-1.255685 -1.291065 -1.300398
-1.084763 -1.218475 -1.284416
-0.947696 -1.187182 -1.272033
-0.816241 -1.104832 -1.259284
-0.666608 -0.954162 -1.222745
-0.565653 -0.816180 -1.142225
-0.427000 -0.684603 -1.021506
-0.294752 -0.554002 -0.884988
-0.465003 -0.483791 -0.750666
-0.767746 -0.503982 -0.625921
-0.805932 -0.552050 -0.526918
-0.906582 -0.648003 -0.482876
-0.908961 -0.770796 -0.513498
-1.120509 -0.901946 -0.607255
-1.305827 -1.009550 -0.726144
-1.522560 -1.152839 -0.839482
-1.360605 -1.243668 -0.947818
-1.104100 -1.282708 -1.067866
-1.210850 -1.300764 -1.192306
-1.235494 -1.286673 -1.282281
-1.181021 -1.218414 -1.307657
-1.026569 -1.151558 -1.278621
-0.830576 -1.096902 -1.232322
-0.896761 -1.034072 -1.189805
-0.681065 -0.923174 -1.139724
-0.598166 -0.806603 -1.064999
-0.515389 -0.704367 -0.968253
-0.353312 -0.608902 -0.864248
-0.397537 -0.509045 -0.760853
-0.580232 -0.488915 -0.658251
-0.888709 -0.546987 -0.563823
-1.097085 -0.663375 -0.502640
-1.178520 -0.828380 -0.507703
-1.383297 -1.025532 -0.595848
-1.232749 -1.156072 -0.751642
-1.224026 -1.223111 -0.932507
-1.391593 -1.282037 -1.090558
-1.139663 -1.274229 -1.196698
-1.434415 -1.284477 -1.251598
-1.358653 -1.309670 -1.271850
-1.198162 -1.304485 -1.280207
-0.930372 -1.212253 -1.291126
-0.852841 -1.154852 -1.297226
-0.629093 -0.993812 -1.271606
-0.406748 -0.803431 -1.193526
-0.518805 -0.667523 -1.062620
-0.465064 -0.574498 -0.900177
-0.552355 -0.514413 -0.741272
-0.637938 -0.516182 -0.614758
-0.719007 -0.578585 -0.539484
-1.063535 -0.687531 -0.521123
-1.158329 -0.826184 -0.553758
-1.395314 -0.994788 -0.631350
-1.205421 -1.108309 -0.751398
-1.209081 -1.206336 -0.903593
-1.207007 -1.235006 -1.055910
-1.019493 -1.207251 -1.168882
-1.237507 -1.175653 -1.220610
-1.296433 -1.193892 -1.218170
-1.352736 -1.222623 -1.192916
-1.133380 -1.207861 -1.179313
-0.933117 -1.190598 -1.193465
-0.780373 -1.099159 -1.217804
-0.551074 -0.950136 -1.213473
-0.502152 -0.780007 -1.148264
-0.443409 -0.642025 -1.021140
-0.561200 -0.567605 -0.862967
-0.588711 -0.529297 -0.712358
-0.595299 -0.538142 -0.601033
-0.842532 -0.606218 -0.544059
-0.991311 -0.715774 -0.539850
-1.181265 -0.839787 -0.579439
-1.384822 -0.998997 -0.657336
-1.957368 -1.271423 -0.774029
-1.102392 -1.323395 -0.928969
-1.038037 -1.332728 -1.113738
-1.125328 -1.321565 -1.282708
-1.296067 -1.303814 -1.371280
-1.300276 -1.172420 -1.353041
-1.008269 -1.153571 -1.272216
-0.964288 -1.138809 -1.205360
-0.724131 -1.058594 -1.181997
-0.644709 -0.928298 -1.164063
-0.572180 -0.782691 -1.100135
-0.482083 -0.677466 -0.986736
-0.495442 -0.583709 -0.853268
-0.590541 -0.556991 -0.729743
-0.692228 -0.566446 -0.632875
-0.932080 -0.638426 -0.572973
-1.144665 -0.770979 -0.560285
-1.270813 -0.926041 -0.602680
-1.228601 -1.053653 -0.701805
-1.459913 -1.207190 -0.843386
-1.080310 -1.236836 -0.997228
-1.094645 -1.226832 -1.131184
-1.295640 -1.231773 -1.217499
-1.382931 -1.262639 -1.245681
-1.330837 -1.236836 -1.235128
-0.990640 -1.218902 -1.223477
-0.865346 -1.173030 -1.233237
-0.670573 -1.048041 -1.244522
-0.563518 -0.884134 -1.212009
-0.397964 -0.697596 -1.108980
-0.361303 -0.571692 -0.955077
-0.440908 -0.486841 -0.789218
-0.608414 -0.474397 -0.641598
-0.792207 -0.520147 -0.531493
-1.046943 -0.649955 -0.477081
-1.165710 -0.810812 -0.494405
-1.308877 -0.984418 -0.584990
-1.303021 -1.123315 -0.730475
-1.193465 -1.203591 -0.898591
-1.049383 -1.204079 -1.053714
-1.205909 -1.212131 -1.164490
-1.383236 -1.226954 -1.213900
-1.353712 -1.237141 -1.214083
-1.081957 -1.214815 -1.203286
-0.864980 -1.177910 -1.212497
-0.772931 -1.091351 -1.232078
-0.785924 -0.971852 -1.218353
-0.698816 -0.840885 -1.141310
-0.696071 -0.763720 -1.018517
-0.402844 -0.671305 -0.895297
-0.332999 -0.583282 -0.800137
-0.571448 -0.540399 -0.723521
-0.717909 -0.544242 -0.643489
-1.052128 -0.615429 -0.565958
-0.886940 -0.712236 -0.527650
-1.239764 -0.893589 -0.564677
-1.154425 -1.010221 -0.673074
-1.420385 -1.150704 -0.815692
-1.332118 -1.206702 -0.953186
-1.306498 -1.290638 -1.072502
-1.122522 -1.267153 -1.173945
-1.234884 -1.283257 -1.250439
-1.271484 -1.253489 -1.287100
-0.980392 -1.183156 -1.281061
-0.980148 -1.117886 -1.251232
-0.782935 -1.049932 -1.211826
-0.866505 -0.976244 -1.162599
-0.575901 -0.837164 -1.092144
-0.508984 -0.742858 -1.001315
-0.364353 -0.619699 -0.900726
-0.320921 -0.527284 -0.796904
-0.799649 -0.513925 -0.687897
-0.702720 -0.539301 -0.581452
-0.996618 -0.636840 -0.512034
-1.090131 -0.781959 -0.513071
-1.074149 -0.932629 -0.591029
-1.177117 -1.008147 -0.718885
-1.795108 -1.226588 -0.857477
