X_Accel Y_Accel Z_Accel
0.695156 0.205875 -0.682895
0.706075 0.171166 -0.673196
0.741821 0.146888 -0.672342
0.764269 0.136396 -0.674660
0.745176 0.152500 -0.666791
0.710040 0.173606 -0.679845
0.703513 0.160064 -0.672342
0.711443 0.153171 -0.669536
0.697535 0.158783 -0.667828
0.673562 0.173484 -0.697474
0.653615 0.182878 -0.706136
0.636596 0.176046 -0.689239
0.638426 0.159332 -0.699731
0.656360 0.158905 -0.724680
0.646417 0.184403 -0.748836
0.614270 0.206485 -0.738100
0.594445 0.194163 -0.745420
0.615917 0.194102 -0.737490
0.604388 0.203679 -0.730292
0.594750 0.200507 -0.759328
0.603473 0.214110 -0.766099
0.595421 0.207095 -0.758718
0.605547 0.188124 -0.730353
0.610732 0.193492 -0.742004
0.595177 0.223077 -0.774700
0.557052 0.236985 -0.763293
0.552416 0.207156 -0.791597
0.538020 0.192882 -0.815143
0.527040 0.198860 -0.807396
0.512339 0.221186 -0.810202
0.502396 0.257298 -0.831674
0.472689 0.258457 -0.838384
0.474763 0.235033 -0.828136
0.466711 0.231007 -0.848815
0.462868 0.230031 -0.865041
0.450729 0.239059 -0.853146
0.447435 0.222589 -0.836249
0.441152 0.209840 -0.825330
0.425170 0.213744 -0.821060
0.384605 0.232349 -0.852536
0.345992 0.246989 -0.875289
0.336598 0.253760 -0.887245
0.339953 0.232776 -0.907680
0.345260 0.212585 -0.903349
0.326228 0.228201 -0.897249
0.317261 0.252784 -0.883158
0.303292 0.240584 -0.894626
0.260714 0.231007 -0.899689
0.257847 0.217831 -0.881938
0.253882 0.198006 -0.905240
0.272487 0.229848 -0.897188
0.257420 0.272731 -0.900238
0.231495 0.254126 -0.937448
0.221186 0.226493 -0.940498
0.208803 0.189588 -0.944158
0.215879 0.228323 -0.952881
0.174887 0.292251 -0.954040
0.151402 0.255834 -0.937448
0.145424 0.185074 -0.970022
0.124989 0.182634 -0.937753
0.119133 0.220820 -0.957517
0.076921 0.237717 -1.001376
0.063745 0.230153 -1.001071
0.078568 0.192211 -0.974170
0.090158 0.145241 -0.946598
0.091927 0.153049 -0.924821
